"Administración Local","Ayuntamiento de Barakaldo"," Alcaldía del Ayuntamiento de Barakaldo ",P4801700H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=WiG8Hy7VnMY%3D,"Herrico Plaza, 1",48901,Barakaldo,España,944783149,944789411,currutia@barakaldo.org
"Administración Local","Ayuntamiento de Val de San Vicente (Cantabria)"," Junta de Gobierno de Val de San Vicente",P3909500E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=bGHpR4HBYqs%3D,"Plaza Doctores Sánchez de Cos, 2",39548,"Pesués, Val de San Vicente (Cantabria)",España,942718011,942718078,secretaria@aytodevaldesanvicente.es
"Otras Entidades del Sector Público","Udaltalde 21 Nerbioi-Ibaizabal S.L.","Administración de Udaltalde 21 Nerbioi-Ibaizabal S.L.",B95586970,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YPYWG7ESmqc%3D,"Paseo Urgoti, 8",48480,"Arrigorriaga (Vizcaya)",España,946712699,946712522,info@ut21.org
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Desarrollo de Infraestructura)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OAWJwMuexAU%3D,"Estación de Chamartín-Caracola 22 Final, andén 1",28036,Madrid,España,,,contrataciondgdi@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Económico Financiera y de Control)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=4QO1YmmeX6s%3D,"Avda. Burgos, 16, D, Planta 2",28036,Madrid,España,,,contrataciondcc@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Explotación de la Infraestructura)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=5%2BnCm97ABWI%3D,"Estación de Charmartín-Caracola, 21 Final Andén 1",28036,Madrid,España,,,dcontratacion.dgei@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Grandes Proyectos de Alta Velocidad)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=KBpj6gSCBlg%3D,"José Abascal, 56, planta 6",28003,Madrid,España,,,mjmoro@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Planificación Estratégica)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=wkdGua3CvMk%3D,"Sor Ángela de la Cruz, 3",28020,Madrid,España,,,contrataciondcc@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección General Seguridad, Organización y Recursos Humanos)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=qhQoprBMOxo%3D,"Sor Ángela de la Cruz, 3",28020,Madrid,España,,,contratacion-dgsorh@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección Patrimonio y Urbanismo)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=AHq0%2B86VnS0%3D,"Avda. Pío XII, 110, Caracola 7",28036,Madrid,España,,,patricompras@adif.es
"Entidad de Derecho Público","Ministerio de Fomento","Administrador de Infraestructuras Ferroviarias (Dirección Sistemas de Información)",Q2801660H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=89zE2EUJGSk%3D,"Paseo de las Delicias, 61",28045,Madrid,España,,,comprasdsi@adif.es
